start,end,multiple,xirr,max_dd
2010-02-22,2020-02-21,2.479616163493318,0.13914099039304692,-0.135323905647445
2002-01-22,2012-01-20,1.3214700551345104,0.04363760112981606,-0.4629368906286583
2012-04-27,2022-04-27,2.4207316621225496,0.1352670196754694,-0.2294286355808831
2011-04-29,2021-04-29,2.6752853121702596,0.15009885896633252,-0.23031353229724505
2005-05-03,2015-05-01,1.8892447314787941,0.09901879615052138,-0.4130500077679825
2000-05-10,2010-05-10,1.0873623320481431,0.013304246574183137,-0.46912703121302834
2016-01-06,2026-01-06,2.7195322666801554,0.1538645215470234,-0.22301458204133895
2006-11-29,2016-11-29,1.805481266865316,0.09101497974846655,-0.3739719049904854
2014-09-02,2024-08-30,2.4347800851776342,0.13699492244429196,-0.22531791441751048
2010-12-08,2020-12-08,2.4996634079565196,0.1410485423991299,-0.23075110485199168
2012-09-04,2022-09-02,2.1993749123040867,0.1220347079196066,-0.22904024468344752
2012-05-09,2022-05-09,2.3245652778418093,0.13010536240872975,-0.22945559719427333
2002-07-26,2012-07-26,1.4720096844243509,0.06009942887776277,-0.4666276828212794
2005-06-30,2015-06-30,1.8334191322779338,0.09334777693848922,-0.41080297900620333
2007-04-13,2017-04-13,1.866135810901738,0.0966431276512896,-0.36024316534442513
2007-10-25,2017-10-25,2.001254127354895,0.10672639447595053,-0.33981517170120334
1999-12-09,2009-12-09,1.0140915566968653,0.002231686993178278,-0.47079640031732917
2008-08-29,2018-08-29,2.320273500345932,0.128802394743997,-0.32505931900813434
2001-11-12,2011-11-11,1.2668916992609793,0.03724914835468463,-0.4643011131356458
2012-01-26,2022-01-26,2.625029943979313,0.14739629940616852,-0.22980011684287438
2011-01-10,2021-01-08,2.536145980161765,0.14321414073641248,-0.2306295994740577
2015-03-09,2025-03-07,2.3642135845318855,0.132736701000764,-0.22432928987331457
2012-02-03,2022-02-03,2.665218963197529,0.15097691324642099,-0.22968347183055915
2005-07-19,2015-07-17,1.8679232879790189,0.09666842608827106,-0.40817443517623697
2015-12-15,2025-12-15,2.6615173032764035,0.15011360439894111,-0.2230118766721111
