date,invested_nzd_cum,invested_usd_cum,value_SPY_weekly_usd,value_SPY_daily_usd,value_SPY_dip_usd,value_QQQ_weekly_usd,value_QQQ_daily_usd,value_QQQ_dip_usd
2022-05-02,51122.448979591965,34358.278439969436,41753.62822608835,41651.27602250857,41668.99715085311,42678.420105012745,42547.04706839549,42584.34803513694
2022-05-09,51428.57142857156,34553.86634383883,40306.1888192507,40209.19623613269,40267.24467410243,40015.65994696736,39891.524057276365,39967.10777229192
2022-05-16,51734.69387755115,34746.384067194806,40693.06734323032,40603.93502034934,40622.05553164706,40381.89929465699,40265.21137824173,40301.32526226267
2022-05-23,52040.816326530745,34942.96041070199,40567.21775716031,40484.63606597441,40502.771670948074,39907.33403235788,39797.380328373816,39833.08312557861
2022-05-31,52346.93877551034,35143.72408390046,42404.28257572191,42327.330315916566,42346.19743053843,42120.59100807638,42016.43782533763,42053.94108458776
2022-06-06,52653.06122448993,35342.98234448142,42486.471900009674,42375.61161714632,42394.42664379722,42175.021734608534,42036.67623429614,42074.05054225603
2022-06-13,52959.183673469524,35536.981212849525,38884.663764589895,38781.63159738132,38838.95992920907,38002.16326033761,37873.90816364787,37986.22503977887
2022-06-21,53265.30612244912,35730.98376697424,39253.92323983723,39158.31530034632,39175.44524315528,39053.08782932927,38930.863294476905,38965.81311474752
2022-06-27,53571.42857142871,35924.2782909043,40862.19053922662,40732.079947123224,40749.82736713495,40826.1269924872,40667.877411547895,40704.24099432189
2022-07-05,53877.551020408304,36114.55472756406,40355.28988588856,40235.96006412083,40253.40468356128,40249.98193824888,40104.93095779653,40141.014461007006
2022-07-11,54183.6734693879,36303.92483302525,40784.494678320676,40630.83163003708,40648.3799242338,40731.10627355501,40550.614321307716,40586.95937779553
2022-07-18,54489.79591836749,36493.40510976558,40731.95869682865,40584.804757880345,40602.248920040285,40971.32622208335,40796.657953653696,40833.04828601065
